size,avg_adds,avg_muls,avg_time_seconds
1,0.0,0.0,3.042000000000001e-7
11,115.0,0.0,1.3696000000000002e-5
21,430.0,0.0,1.9821e-5
31,934.0,0.0,3.1579200000000004e-5
41,1659.0,0.0,5.6475000000000004e-5
51,2571.0,0.0,7.702929999999999e-5
61,3671.0,0.0,0.00010326230000000001
71,4994.0,0.0,0.00013604189999999998
81,6516.0,0.0,0.0063982125
91,8232.0,0.0,0.00019759999999999998
101,10142.0,0.0,0.0002500917
111,12246.0,0.0,0.00030609580000000005
121,14544.0,0.0,0.0005488959
131,17047.0,0.0,0.0004384748
141,19787.0,0.0,0.0004936541999999999
151,22715.0,0.0,0.0005704292000000001
161,25829.0,0.0,0.0005573876999999999
171,29155.0,0.0,0.0006007084
181,32665.0,0.0,0.0006638752999999999
191,36359.0,0.0,0.0006415291999999999
201,40283.0,0.0,0.0007159083999999999
211,44395.0,0.0,0.0007851958999999999
221,48695.0,0.0,0.0008448499
231,53197.0,0.0,0.0009220292999999999
241,57889.0,0.0,0.000946054
251,62775.0,0.0,0.0010471125
261,67890.0,0.0,0.0011687498999999998
271,73234.0,0.0,0.0012744041999999999
281,78772.0,0.0,0.0013593961000000002
291,84500.0,0.0,0.007775333299999999
301,90430.0,0.0,0.0018260332
311,96548.0,0.0,0.0020089874
321,102854.0,0.0,0.0020257456999999996
331,109390.0,0.0,0.0019652169
341,116110.0,0.0,0.0021958583999999995
351,123014.0,0.0,0.0028105209
361,130130.0,0.0,0.0027441586000000002
371,137432.0,0.0,0.0101986541
381,144922.0,0.0,0.0024684499999999996
391,152642.0,0.0,0.0024787749
401,160564.0,0.0,0.003098125
411,168680.0,0.0,0.0030059747999999996
421,176990.0,0.0,0.0030676253
431,185494.0,0.0,0.0033583543
441,194192.0,0.0,0.011858458300000003
451,203086.0,0.0,0.0038083459
461,212196.0,0.0,0.0109325041
471,221494.0,0.0,0.004009275
481,230978.0,0.0,0.0112087958
491,240674.0,0.0,0.004394008499999999
501,250554.0,0.0,0.0117032626
511,260618.0,0.0,0.004526633399999999
521,270975.0,0.0,0.0112372833
531,281527.0,0.0,0.0048458874
541,292267.0,0.0,0.012261816699999999
551,303209.0,0.0,0.015709721
561,314341.0,0.0,0.0059325082000000005
571,325667.0,0.0,0.0061266041
581,337197.0,0.0,0.012749312499999998
591,348931.0,0.0,0.012864945899999999
601,360859.0,0.0,0.0065784625999999995
611,372977.0,0.0,0.0139642085
621,385297.0,0.0,0.0148736331
631,397805.0,0.0,0.014574420699999998
641,410503.0,0.0,0.0082557042
651,423449.0,0.0,0.014903316800000002
661,436579.0,0.0,0.0209339166
671,449893.0,0.0,0.0075191209
681,463419.0,0.0,0.015010791699999998
691,477131.0,0.0,0.0158017625
701,491031.0,0.0,0.0227285791
711,505147.0,0.0,0.009641949899999998
721,519459.0,0.0,0.0092131997
731,533965.0,0.0,0.011112833299999998
741,548665.0,0.0,0.023270754
751,563559.0,0.0,0.0174798376
761,578647.0,0.0,0.0169122625
771,593943.0,0.0,0.010403616700000002
781,609483.0,0.0,0.017209683400000002
791,625211.0,0.0,0.018204979500000003
801,641125.0,0.0,0.019077125
811,657251.0,0.0,0.0180753957
821,673561.0,0.0,0.018797650000000003
831,690055.0,0.0,0.0191251292
841,706779.0,0.0,0.027460633300000002
851,723691.0,0.0,0.020132566699999997
861,740791.0,0.0,0.0275566042
871,758093.0,0.0,0.015530254100000002
881,775585.0,0.0,0.02220495
891,793271.0,0.0,0.024392958299999996
901,811171.0,0.0,0.023105545800000002
911,829285.0,0.0,0.029841341600000005
921,847593.0,0.0,0.023613679300000003
931,866091.0,0.0,0.030828437599999998
941,884791.0,0.0,0.0321522165
951,903679.0,0.0,0.024852199899999997
961,922755.0,0.0,0.030362458400000004
971,942061.0,0.0,0.032162025
981,961551.0,0.0,0.0251282292
991,981225.0,0.0,0.0325692209
1001,1.001111e6,0.0,0.033825658300000006
1011,1.021183e6,0.0,0.0340660916
1021,1.041443e6,0.0,0.0302132542
1031,1.061982e6,0.0,0.03220240819999999
1040,1.080656e6,0.0,0.0441709709
