size,trial,adds,muls,time_seconds
181,4,16761,0,0.000844875
181,5,16761,0,0.000685125
181,6,16761,0,0.000825167
181,7,16761,0,0.000861625
181,8,16761,0,0.0006885
181,9,16761,0,0.000859542
181,10,16761,0,0.00084775
191,1,18460,0,0.000736291
191,2,18460,0,0.000835625
191,3,18460,0,0.000918625
191,4,18460,0,0.000856834
191,5,18460,0,0.000828958
191,6,18460,0,0.000697875
191,7,18460,0,0.000808792
191,8,18460,0,0.000856167
191,9,18460,0,0.000829916
191,10,18460,0,0.000702583
201,1,20578,0,0.0009285
201,2,20578,0,0.00096475
201,3,20578,0,0.000917375
201,4,20578,0,0.000934
201,5,20578,0,0.000786084
201,6,20578,0,0.0009065
201,7,20578,0,0.000964042
201,8,20578,0,0.001164208
201,9,20578,0,0.000852
201,10,20578,0,0.000984958
211,1,22694,0,0.001108291
211,2,22694,0,0.001072834
211,3,22694,0,0.000983667
211,4,22694,0,0.000970334
211,5,22694,0,0.00095375
211,6,22694,0,0.000886709
211,7,22694,0,0.000847209
211,8,22694,0,0.000973708
211,9,22694,0,0.000964541
211,10,22694,0,0.000977917
221,1,24810,0,0.001073917
221,2,24810,0,0.001106625
221,3,24810,0,0.001213458
221,4,24810,0,0.001067334
221,5,24810,0,0.000926959
221,6,24810,0,0.000918625
221,7,24810,0,0.001015833
221,8,24810,0,0.001048167
221,9,24810,0,0.001105375
221,10,24810,0,0.001275209
231,1,27079,0,0.001296291
231,2,27079,0,0.00124325
231,3,27079,0,0.001239709
231,4,27079,0,0.001235917
231,5,27079,0,0.001305584
231,6,27079,0,0.001290625
231,7,27079,0,0.00116125
231,8,27079,0,0.001112
231,9,27079,0,0.001114541
231,10,27079,0,0.001099208
241,1,29359,0,0.001246667
241,2,29359,0,0.002559875
241,3,29359,0,0.001173334
241,4,29359,0,0.001182792
241,5,29359,0,0.001214375
241,6,29359,0,0.001359667
241,7,29359,0,0.001691792
241,8,29359,0,0.001492291
241,9,29359,0,0.001541292
241,10,29359,0,0.00135025
251,1,31810,0,0.001329292
251,2,31810,0,0.001624541
251,3,31810,0,0.001302833
251,4,31810,0,0.001258791
251,5,31810,0,0.001448083
251,6,31810,0,0.001388917
251,7,31810,0,0.001559458
251,8,31810,0,0.001303667
251,9,31810,0,0.001316708
251,10,31810,0,0.001283833
261,1,34406,0,0.001561792
261,2,34406,0,0.001781875
